Source Port,Destination Port,Protocol,Destination Port.1,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
443,49158,6,49158,252554.89349365234,11,9,5209,2120,2554.0,54.0,473.54545454545456,766.8627189739153,1304.0,54.0,235.55555555555554,387.4862323320837,29019.433750089684,79.19070473486065,13292.362815455386,28478.611441756602,90309.61990356445,213.623046875,174303.2932281494,17430.32932281494,33775.165641237436,95183.6109161377,213.623046875,252554.89349365234,31569.361686706543,38702.75097709987,94705.34324645996,247.00164794921875,3,3,0,0,220,180,43.55488760417335,35.635817130687286,54.0,2554.0,366.45,636.4171961064535,405026.8475000001,2,2,1,6,19,0,0,0,0.8181818181818182,366.45,473.54545454545456,235.55555555555554,220,0,0,0,0,0,0,11,5209,9,2120,1048,0,7,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
443,49161,6,49161,4028264.045715332,10,10,4236,2485,2554.0,54.0,423.6,736.2043466321019,1304.0,54.0,248.5,370.87605746394576,1668.4606380628895,4.96491783384285,212013.8971429122,878958.5229049724,3940776.586532593,218.39141845703125,3986627.1018981934,442958.56687757705,1236891.7333611134,3941269.874572754,254.8694610595703,4028264.045715332,447584.8939683702,1235132.501834142,3940776.586532593,318.28880310058594,4,3,0,0,200,200,2.482458916921425,2.482458916921425,54.0,2554.0,336.05,589.4386715341977,347437.94749999983,2,2,0,7,19,0,0,0,1.0,336.05,423.6,248.5,200,0,0,0,0,0,0,10,4236,10,2485,17,509,6,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anomaly
443,49244,6,49244,1706967.5922393799,13,15,5404,4335,1304.0,54.0,415.6923076923077,504.7746465374249,1304.0,54.0,289.0,397.91975740509963,5705.43930902833,16.403357701282804,63221.02193479185,162397.7601021142,560952.90184021,211.23886108398438,1145803.451538086,95483.62096150716,182044.33829818174,500373.84033203125,270.3666687011719,1706967.5922393799,121926.25658852715,217537.5757369087,561287.8799438477,218.39141845703125,5,6,0,0,260,300,7.61584464702416,8.787513054258646,54.0,1304.0,347.82142857142856,455.10015016881005,207116.14668367346,2,2,0,11,27,0,0,0,1.1538461538461537,347.82142857142856,415.6923076923077,289.0,260,0,0,0,0,0,0,13,5404,15,4335,16386,510,9,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anomaly
443,49305,6,49305,6191874.265670776,19,16,7535,3503,1304.0,54.0,396.57894736842104,499.103439947385,1304.0,54.0,218.9375,335.060343212607,1782.6589375687581,5.652569561053318,182113.94899031697,364971.3690602888,1098970.890045166,209.808349609375,6191396.236419678,343966.457578871,443045.7778621354,1099212.1696472168,396.0132598876953,6191874.265670776,412791.61771138513,455132.03882319643,1099348.545074463,332.5939178466797,7,3,0,0,380,320,3.0685377617146585,2.58403179933866,54.0,1304.0,315.37142857142857,440.88606145315305,194380.51918367346,2,2,0,10,34,0,0,0,0.8421052631578947,315.37142857142857,396.57894736842104,218.9375,380,0,0,0,0,0,0,19,7535,16,3503,16,508,15,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anomaly
443,49329,6,49329,5581969.499588013,15,13,4498,3001,1304.0,54.0,299.8666666666667,430.9567444135845,1304.0,54.0,230.84615384615384,362.57918947321457,1343.4326361965032,5.01615066188853,206739.6110958523,395630.0824223739,1050209.2838287354,208.13941955566406,5580016.136169434,398572.5811549595,475389.92486668227,1050438.404083252,225.54397583007812,5581969.499588013,465164.1249656677,482633.10604918463,1050438.642501831,271.5587615966797,4,2,0,0,300,260,2.6872235688688555,2.328927093019675,54.0,1304.0,267.82142857142856,402.13981697658244,161716.43239795923,2,2,0,6,27,0,0,0,0.8666666666666667,267.82142857142856,299.8666666666667,230.84615384615384,300,0,0,0,0,0,0,15,4498,13,3001,16,512,11,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
443,49330,6,49330,5584821.939468384,13,13,3895,3001,1304.0,54.0,299.61538461538464,451.22475014999895,1304.0,54.0,230.84615384615384,362.57918947321457,1234.7752667395564,4.655475193623618,223392.87757873535,385853.60733700724,1075727.939605713,205.51681518554688,5582803.48777771,465233.62398147583,483772.59828442265,1127057.0755004883,294.2085266113281,5584821.939468384,465401.828289032,481535.87693306565,1099097.9671478271,291.3475036621094,3,2,0,0,260,260,2.327737596811809,2.327737596811809,54.0,1304.0,265.2307692307692,410.7505613734923,168716.02366863907,2,2,0,5,25,0,0,0,1.0,265.2307692307692,299.61538461538464,230.84615384615384,260,0,0,0,0,0,0,13,3895,13,3001,16,512,9,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
443,49331,6,49331,5583936.929702759,15,13,4870,3000,1304.0,54.0,324.6666666666667,449.0346188089387,1304.0,54.0,230.76923076923077,362.5281217412719,1409.3998730782462,5.0143832841411555,206812.47887787997,375675.02236357547,1076261.281967163,208.37783813476562,5580583.572387695,398613.1123134068,477111.11695500236,1127052.7839660645,214.09988403320312,5583936.929702759,465328.0774752299,481894.43256892153,1099713.3255004883,315.4277801513672,4,2,0,0,300,260,2.6862767593613333,2.3281065247798223,54.0,1304.0,281.07142857142856,413.79903063576893,171229.63775510204,2,2,0,6,27,0,0,0,0.8666666666666667,281.07142857142856,324.6666666666667,230.76923076923077,300,0,0,0,0,0,0,15,4870,13,3000,16,512,11,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
443,49376,6,49376,2925295.352935791,11,12,8041,2839,2554.0,54.0,731.0,938.683701205625,1304.0,54.0,236.58333333333334,359.131465792434,3719.2825637523965,7.862453949108926,132967.9705879905,605433.6524887423,2907410.144805908,206.47048950195312,2923959.493637085,292395.9493637085,871673.9267978658,2907410.144805908,210.28518676757812,2925295.352935791,265935.941175981,836727.6252386057,2911898.136138916,212.4309539794922,6,4,0,0,220,240,3.7603040626173123,4.102149886491613,54.0,2554.0,473.04347826086956,741.4152435221655,549696.5633270319,2,2,0,10,22,0,0,0,1.0909090909090908,473.04347826086956,731.0,236.58333333333334,220,0,0,0,0,0,0,11,8041,12,2839,1046,512,7,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anomaly
443,49509,6,49509,5668997.526168823,13,12,5348,2529,1304.0,54.0,411.38461538461536,452.1272010365665,1304.0,54.0,210.75,370.36313823957516,1389.4872882972259,4.40995076900224,236208.2302570343,397827.8216716024,1120959.5203399658,219.82192993164062,5529598.951339722,460799.9126116435,476383.9117264427,1121216.058731079,254.3926239013672,5668997.526168823,515363.41146989306,449156.60427401226,1121179.3422698975,282.28759765625,5,1,0,0,260,240,2.293174399881165,2.1167763691210753,54.0,1304.0,315.08,426.83298091876645,182186.39360000004,2,2,0,6,24,0,0,0,0.9230769230769231,315.08,411.38461538461536,210.75,260,0,0,0,0,0,0,13,5348,12,2529,16,507,9,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anomaly
443,50236,6,50236,11048.555374145508,2,2,139,108,85.0,54.0,69.5,15.5,54.0,54.0,54.0,0.0,22355.863878638786,362.0382814354459,3682.851791381836,4755.069214165593,10407.447814941406,290.87066650390625,350.2368927001953,350.2368927001953,0.0,350.2368927001953,350.2368927001953,11048.555374145508,11048.555374145508,0.0,11048.555374145508,11048.555374145508,1,0,0,0,40,40,181.01914071772296,181.01914071772296,54.0,85.0,61.75,13.423393758658799,180.1875,2,0,1,1,4,0,0,0,1.0,61.75,69.5,54.0,40,0,0,0,0,0,0,2,139,2,108,501,0,0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
