Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Source Port,Destination Port,Protocol,Destination Port.1,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.3:56620-216.239.34.223:443-6,216.239.34.223,443,192.168.1.3,56620,6,29/04/2026 19:56:56,443,56620,6,56620,9558951.139450073,186,322,19884,405047,1304.0,54.0,106.90322580645162,228.7204033155328,1304.0,54.0,1257.9099378881988,225.1340414271305,44453.72654394029,53.14390591489364,18853.947020611584,323433.09960526135,7261003.255844116,230.7891845703125,9443371.534347534,51045.2515370137,534009.3001877479,7261003.255844116,230.7891845703125,9558951.139450073,29778.663985825773,411183.5922520286,7352248.907089233,351.6674041748047,0,0,0,0,3720,6440,19.458201771988616,33.685704142905024,54.0,1304.0,836.4783464566929,598.9551774959746,358747.3046492344,2,2,0,41,507,0,0,0,1.7311827956989247,836.4783464566929,106.90322580645162,1257.9099378881988,3720,0,0,0,0,0,0,186,19884,322,405047,1261,510,182,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.1.3:56418-216.239.34.223:443-6,216.239.34.223,443,192.168.1.3,56418,6,29/04/2026 19:56:37,443,56418,6,56418,37514556.40792847,393,632,27684,805384,1304.0,54.0,70.44274809160305,112.97540728394017,1304.0,54.0,1274.3417721518988,180.60963121605315,22206.52673968274,27.32272744622865,36635.30899211764,546647.6979420611,13650387.287139893,212.4309539794922,37489334.82170105,95636.05821862513,881854.3855429391,13672953.844070435,212.4309539794922,37514556.40792847,59452.54581288188,700545.8863109851,13674758.911132812,284.43336486816406,0,0,0,0,7860,12640,10.475933547675961,16.84679389855269,54.0,1304.0,812.7492682926829,606.34126635085,367649.7312799524,2,0,0,62,1025,0,0,0,1.6081424936386768,812.7492682926829,70.44274809160305,1274.3417721518988,7860,0,0,0,0,0,0,393,27684,632,805384,7716,510,391,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
150.171.22.12:443-192.168.1.3:56544-6,150.171.22.12,443,192.168.1.3,56544,6,29/04/2026 19:57:03,443,56544,6,56544,17492334.604263306,4,3,228,163,66.0,54.0,57.0,5.196152422706632,55.0,54.0,54.333333333333336,0.4714045207910317,22.35264810820071,0.40017528582456513,2915389.100710551,6288488.208474431,16975072.860717773,516.8914794921875,17381229.162216187,5793743.0540720625,8192857.491746553,17380193.23348999,516.8914794921875,17388639.68849182,8694319.84424591,8391858.458518982,17086178.302764893,302461.3857269287,0,0,0,0,80,60,0.2286715918997515,0.17150369392481363,54.0,66.0,55.857142857142854,4.155154163499709,17.26530612244897,2,0,2,0,6,0,0,0,0.75,55.857142857142854,57.0,54.333333333333336,80,0,0,0,0,0,0,4,228,3,163,0,510,2,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
104.26.12.38:443-192.168.1.3:56717-6,104.26.12.38,443,192.168.1.3,56717,6,29/04/2026 19:57:25,443,56717,6,56717,6335599.184036255,22,19,8870,4619,1304.0,54.0,403.1818181818182,470.18377803149156,1304.0,54.0,243.10526315789474,321.5172737827942,2129.0803928992377,6.471368975377622,158389.97960090637,306644.9168181636,1013602.9720306396,412.7025604248047,6313611.745834351,300648.17837306426,497261.47536502115,1266940.3553009033,636.3391876220703,6335599.184036255,351977.7324464586,440790.4030536747,1182833.4331512451,825.1667022705078,0,0,0,0,440,380,3.472441889227017,2.9989270861506054,54.0,1304.0,329.0,415.8136308609376,172900.9756097561,2,2,0,12,40,0,0,0,0.8636363636363636,329.0,403.1818181818182,243.10526315789474,440,0,0,0,0,0,0,22,8870,19,4619,16,512,18,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
104.26.13.38:443-192.168.1.3:56758-6,104.26.13.38,443,192.168.1.3,56758,6,29/04/2026 19:57:35,443,56758,6,56758,5714593.172073364,16,14,6163,3055,1304.0,54.0,385.1875,489.0318520748418,1304.0,54.0,218.21428571428572,352.3460511995534,1613.0632089520263,5.249717538355477,197054.93696804706,372305.34395597735,1010605.8120727539,497.3411560058594,5672254.0855407715,378150.27236938477,775587.2884771756,2988532.781600952,497.3411560058594,5700599.193572998,438507.63027484604,600356.5378332246,1986732.7213287354,757.4558258056641,0,0,0,0,320,280,2.799849353789588,2.449868184565889,54.0,1304.0,307.26666666666665,438.65984797132074,192422.46222222224,2,2,0,7,29,0,0,0,0.875,307.26666666666665,385.1875,218.21428571428572,320,0,0,0,0,0,0,16,6163,14,3055,17,508,12,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.1.3:56420-216.239.34.223:443-6,216.239.34.223,443,192.168.1.3,56420,6,29/04/2026 19:56:47,443,56420,6,56420,58856199.02610779,6,8,372,484,66.0,54.0,62.0,5.656854249492381,78.0,54.0,60.5,10.111874208078342,14.543922546209455,0.23786789211090228,4527399.925085215,6617397.211897742,15010359.048843384,1069.784164428711,58733423.23303223,11746684.646606445,5806240.512021265,15717428.68423462,319639.9211883545,58835433.72154236,8405061.960220337,7246223.376784212,15692380.905151367,1069.784164428711,0,0,0,0,120,160,0.10194338233324383,0.13592450977765846,54.0,78.0,61.142857142857146,8.52607046364387,72.6938775510204,3,0,1,2,13,0,0,0,1.3333333333333333,61.142857142857146,62.0,60.5,120,0,0,0,0,0,0,6,372,8,484,0,509,3,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
150.171.22.12:443-192.168.1.3:56471-6,150.171.22.12,443,192.168.1.3,56471,6,29/04/2026 19:57:15,443,56471,6,56471,35029824.01847839,2,1,120,55,66.0,54.0,60.0,6.0,55.0,55.0,55.0,0.0,4.995743053338969,0.08564130948581089,17514912.009239197,17492381.21509552,35007293.22433472,22530.794143676758,35007293.22433472,35007293.22433472,0.0,35007293.22433472,35007293.22433472,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,0.05709420632387393,0.028547103161936965,54.0,66.0,58.333333333333336,5.436502143433364,29.555555555555557,0,0,1,0,3,0,0,0,0.5,58.333333333333336,60.0,55.0,40,0,0,0,0,0,0,2,120,1,55,0,509,2,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.1.3:56760-34.54.84.110:443-6,34.54.84.110,443,192.168.1.3,56760,6,29/04/2026 19:57:44,443,56760,6,56760,2053871.3932037354,21,19,6828,3855,1304.0,54.0,325.14285714285717,455.922642322481,1304.0,54.0,202.89473684210526,287.48508331771563,5201.396755098722,19.475416100715986,52663.36905650604,185527.3931264245,1150927.7820587158,358.58154296875,2002379.6558380127,100118.98279190063,254256.9390148085,1169814.5866394043,358.58154296875,2053871.3932037354,114103.96628909641,288236.97914836806,1250040.2927398682,454.6642303466797,0,0,0,0,420,380,10.224593452875892,9.250822647840094,54.0,1304.0,267.075,390.0177167450217,152113.81937499996,2,2,0,18,39,0,0,0,0.9047619047619048,267.075,325.14285714285717,202.89473684210526,420,0,0,0,0,0,0,21,6828,19,3855,1045,511,17,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.1.3:56772-216.239.34.223:443-6,216.239.34.223,443,192.168.1.3,56772,6,29/04/2026 19:57:47,443,56772,6,56772,5491025.447845459,11,11,2108,2311,1262.0,54.0,191.63636363636363,343.8145040907095,1175.0,54.0,210.0909090909091,347.08931377318027,804.7677145138537,4.006537614687662,261477.4022783552,393694.6860189425,1013851.1657714844,633.23974609375,5468566.89453125,546856.689453125,492498.6621430115,1129397.8691101074,971.0788726806641,5491025.447845459,549102.5447845459,466622.80470890994,1134232.521057129,1316.070556640625,0,0,0,0,220,220,2.003268807343831,2.003268807343831,54.0,1262.0,200.86363636363637,345.5789997110969,119424.84504132232,2,2,0,5,21,0,0,0,1.0,200.86363636363637,191.63636363636363,210.0909090909091,220,0,0,0,0,0,0,11,2108,11,2311,1048,512,7,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.1.3:56774-34.54.84.110:443-6,34.54.84.110,443,192.168.1.3,56774,6,29/04/2026 19:57:47,443,56774,6,56774,358723.87886047363,14,13,5569,2816,1304.0,54.0,397.7857142857143,511.18087078162586,1304.0,54.0,216.6153846153846,331.84067967383163,23374.524234728637,75.26680433365213,13797.07226386437,49710.16329895402,260553.35998535156,435.82916259765625,339836.12060546875,26141.24004657452,68095.85847785743,260553.35998535156,570.2972412109375,358723.87886047363,29893.656571706135,76235.95770768372,281329.870223999,435.82916259765625,0,0,0,0,280,260,39.02723187670851,36.23957245694362,54.0,1304.0,310.55555555555554,443.51577977968293,196706.2469135802,2,2,0,11,26,0,0,0,0.9285714285714286,310.55555555555554,397.7857142857143,216.6153846153846,280,0,0,0,0,0,0,14,5569,13,2816,1047,511,10,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.1.3:56497-20.86.88.94:443-6,20.86.88.94,443,192.168.1.3,56497,6,29/04/2026 19:56:37,443,56497,6,56497,82645367.14553833,3,2,186,110,66.0,54.0,62.0,5.656854249492381,55.0,55.0,55.0,0.0,3.581567971968042,0.060499458985946664,20661341.786384583,19819314.347496666,45011256.6947937,213845.49140930176,82431521.65412903,41215760.827064514,5883534.789085388,47099295.6161499,35332226.037979126,45225102.186203,45225102.186203,0.0,45225102.186203,45225102.186203,0,0,0,0,60,40,0.036299675391568,0.024199783594378663,54.0,66.0,59.2,5.564171097297422,30.959999999999994,0,0,1,0,5,0,0,0,0.6666666666666666,59.2,62.0,55.0,60,0,0,0,0,0,0,3,186,2,110,0,512,3,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.1.3:56659-216.239.34.223:443-6,216.239.34.223,443,192.168.1.3,56659,6,29/04/2026 19:57:06,443,56659,6,56659,66712476.01509094,1116,1876,93807,2353343,1304.0,54.0,84.05645161290323,161.01939330745444,1304.0,54.0,1254.4472281449894,228.44465041351117,36682.044291781844,44.84918232270653,22304.40522069239,386472.5364559784,15012529.611587524,213.38462829589844,66658883.571624756,59783.75208217467,638890.9066183006,15040640.592575073,213.38462829589844,66712476.01509094,35579.9872080485,489551.1274599112,15012529.611587524,266.5519714355469,0,0,0,0,22320,37520,16.72850517116995,28.12067715153658,54.0,1304.0,817.8977272727273,602.2875295767004,362750.26828360476,1,2,1,199,2991,0,0,0,1.6810035842293907,817.8977272727273,84.05645161290323,1254.4472281449894,22320,0,0,0,0,0,0,1116,93807,1876,2353343,13916,0,1113,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
104.16.11.34:443-192.168.1.3:56795-6,104.16.11.34,443,192.168.1.3,56795,6,29/04/2026 19:57:58,443,56795,6,56795,15598913.431167603,87,33,84188,5391,1304.0,54.0,967.6781609195402,524.2853591308046,1304.0,54.0,163.36363636363637,258.36781605814537,5742.6435754823515,7.692843513076527,131083.30614426555,330693.30134134414,1763465.166091919,527.8587341308594,14840230.226516724,172560.81658740377,386104.2372364542,1770558.3572387695,588.6554718017578,15598913.431167603,487466.0447239876,504846.6216096273,1763465.166091919,545.501708984375,0,0,0,0,1740,660,5.577311546980482,2.1155319660960448,54.0,1304.0,746.4916666666667,588.7459978042785,346621.84993055556,0,2,1,43,119,0,0,0,0.3793103448275862,746.4916666666667,967.6781609195402,163.36363636363637,1740,0,0,0,0,0,0,87,84188,33,5391,16,0,85,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
